"Auto-Rig Pro FBX (.fbx)","Auto-Rig Pro FBX (.fbx)"
"Auto-Rig Pro GLTF (.glb/.gltf)","Auto-Rig Pro GLTF (.glb/.gltf)"
"解锁/锁定使用 Quick Rig 生成的保留装备。\n解锁可能不安全，使用时风险自负，但对于小调整很有用","Unlock/Lock the Preserved rig generated with Quick Rig.\nUnlocking may not be safe, use it at your own risks, but can be useful for small tweaks"
"切换锁定装置","toggle_lock_rig"
"通过定义眼睑的边界来改善眼睑的皮肤。\n选择眼睑周围的顶点循环，然后单击此按钮。如果未自动选择循环（按住 Alt 键单击），则顶点选择顺序很重要","Improves eyelids skinning by defining their borders.\nSelect the vertices loop around the eyelids, then click this button. If the loop is not selected automatically (alt-click), the vertex selection order matters"
"设置眼睑边框","set_eyelids_borders"
"获取选定的对象","Get the selected object"
"smart_pick_object","smart_pick_object"
"挑选","Pick"
"Lines FX","Lines FX"
"线条效果","lines_fx"
" 在弹出窗口中报告消息"," Report a message in a popup window"
"信息","Info"
"使用驱动程序为另一侧创建镜像形状键。\n形状键名称必须以侧后缀结尾，例如左侧的 .l 或 _L","Create mirorred shape keys for opposite side, with drivers.\nShape keys names must end with side suffix such as .l or _L for left"
"镜面形状键","Mirror Shape Keys"
"为当前旋转的选定变形骨骼设置矫正骨骼。\n如果选择了 1 根骨骼，则必须是手臂或腿部骨骼。\n如果选择了 2 根骨骼，可以是任意骨骼，但选定的第一根骨骼必须是旋转骨骼","Setup a corrective bone for the selected deforming bone(s) at the current rotation.\nIf 1 bone is selected, it must be an arm or leg bone.\nIf 2 bones are selected, can be any bones, the first bone selected must be the rotated bone"
"添加矫正骨骼","Add Corrective Bone"
"为选定的形状键添加驱动程序。\n必须选择网格和形状键","Add the driver for the selected shape key.\nThe mesh and the shape key must be selected"
"添加校正驱动程序","Add Corrective Driver"
"取消纠正驱动程序创建","Cancel the corrective driver creation"
"取消纠正驱动程序","Cancel Corrective Driver"
"删除所选形状键的校正驱动器，并删除辅助骨骼","Remove the corrective driver of the selected shape key, and remove the helper bones as well"
"删除纠正驱动程序","Remove Corrective Driver"
"将角色摆成预定义的姿势","Pose the character into a predefined pose"
"设置姿势","Set Pose"
"如果手臂和腿部设置为 IK，则保持它们处于 IK 模式。\n否则，请将所有转换为 FK，以实现更精确的旋转","Keep the arms and legs in IK mode if they are set to IK.\nOtherwise, convert all to FK, for more accurate rotations"
"精确旋转","Exact Rotations"
"保留 IK","Preserve IK"
"警告，UE5 Manny 需要 6 根脊椎骨","Warning, UE5 Manny requires 6 spine bones"
"可能导致脊柱旋转不正确，因为","May give incorrect spine rotation since there is "
"启用或禁用此导出操作","Enable or disable this action from export"
"切换动作保留姿势","toggle_action_preserve_pose"
"启用应用姿势时保留的所有动作","Enable all actions to preserve when apply pose"
"禁用应用姿势时要保留的所有动作","Disable all actions to preserve when apply pose"
"将当前姿势应用为静止姿势：应用骨架修改器并将参考骨骼与控制器骨骼对齐（如倒置的“匹配到装备”）\n 然后单击“匹配到装备”以完成","Apply the current pose as rest pose: apply armature modifiers and align reference bones with controller bones (like an inverted 'Match to Rig')\nClick Match to Rig afterward to complete "
"应用姿势作为休息","Apply pose as rest"
"保留动画","Preserve Anim"
"根据新的休息姿势烘焙动作，以保留动画","Bake actions based on the new rest pose, to preserve animations"
"为所有帧设置关键帧","Key All Frames"
"如果启用最佳保存，则每帧一个关键帧，否则仅关键当前关键帧","One keyframe per frame if enabled for best preservation, otherwise only key current keyframes"
"警告，一些网格是实例化的（多个用户）：","Warning, some meshes are instanced (multiple users):"
"-","- "
"在这些物体上应用静止姿势获胜","Applying the rest pose on these objects won"
"请先让他们成为单一用户。","Please make them single user first."
"是否继续？","Continue anyway?"
"全部启用","Enable All"
"禁用所有","Disable All"
"检查框_DEHLT","CHECKBOX_DEHLT"
"CHECKBOX_HLT","CHECKBOX_HLT"
"在集合和对象名称中设置角色名称","Set the character name in collections and objects names"
"设置角色名称","Set Character Name"
"显示选定肢体的参数","Show the selected limb parameters"
"肢体选项","Limb Options"
"执行时从参考骨骼加载设置，否则仅在调用 UI 面板时加载","Load settings from ref bones when executing, otherwise load only when invoking the UI panel"
"设置耳骨数量","Set the number of ear bones"
"设置颈部骨骼数量","Set the number of neck bones"
"添加颈部扭曲骨骼","Add neck twist bones"
"如果大于 1，则对颈骨使用弯曲骨骼软变形","Use bendy bones soft deformations for the neck bone if greater than 1"
"添加 3 块头骨，使嘴巴、眼睛和头顶区域变形","Add 3 skull bones to deform the mouth, eyes and head top areas"
"面部控制器（嘴巴、眼睛、眼睑......）","Facial controllers (mouth, eyes, eyelids...)"
"启用左眉毛控制器","Enable the left eyebrow controllers"
"启用右眉毛控制器","Enable the right eyebrow controllers"
"移动主控制器时，眉骨会以柔和的方式移动","Eyebrow bones will move in a soft style when moving the main controller"
"-1 = 非常弯曲的插值，0 = 弯曲，1 = 线性\n在 Y 轴（上下）移动主控制器时应用于眉骨","-1 = Very curved interpolation, 0 = Curved, 1 = Linear\nApplied to eyebrow bones when moving the main controller on Y axis (up-down)"
"滑块可调整柔和效果的全局影响。\n0 = 柔和，1 = 刚性","Slider to adjust the global influence of the soft effect.\n0 = Soft, 1 = Rigid"
"在眉毛根部和眉尾处添加眉毛主控制器","Add eyebrow master controllers at the root and tip"
"启用左眼控制器","Enable the left eye controllers"
"启用右眼控制器","Enable the right eye controllers"
"眼睛目标控制器与头部的距离","Eye target controllers distance from the head"
"控制器调整上下眼睑表面曲率","Controller to adjust the upper and lower eyelid surface curvature"
"每只上/下眼睑的眼睑骨数量\n例如 3 = 3 只上眼睑，3 只下眼睑","Number of eyelid bones per upper/lower eyelids\nE.g 3 = 3 upper eyelids, 3 lower eyelids"
"如果启用，则在数量发生变化时对齐所有眼睑骨骼。\n否则，仅对齐新骨骼","If enabled, align all eyelid bones if the amount was changed.\nOtherwise, only new bones are aligned"
"与装备匹配时对齐 c_eyelid 骨骼旋转","Align the c_eyelid bones rotation when Match to Rig"
"移动眼睑控制器时调整眼睑旋转速度的因素","Factor to adjust the eyelid rotation speed when moving the eyelid controller"
"每 N 个眼睑添加一个眼睑主控制器。\n例如 1 = 无主控制器。3 = 每 3 个眼睑骨骼添加一个主控制器\n在眼睑骨骼较多的情况下，有助于简化眼睑操作","Add eyelid master controllers every Nth eyelid.\nE.g. 1 = No masters. 3 = masters every 3 eyelid bones\nUseful to ease the eyelid manipulation in case of numerous eyelid bones"
"0 = 使用主控拖动眼睑骨骼时进行曲线插值，1 = 线性","0 = curved interpolation when dragging eyelid bones with masters, 1 = linear"
"与装备匹配时对齐 c_skull 骨骼","Align the c_skull bones when Match to Rig"
"解锁下颌 Y 型定位","Unlock Jaw Y Loc"
"如果启用，下颌 Y 轴位置将解锁并可移动","If enabled, the jaw Y axis location will be unlocked and movable"
"唇部数量","Lips Amount"
"每四分之一边的唇骨数量（不包括中间和角骨）","Number of lips bones per quarter side, excluding middle and corner bones"
"嘴唇大师频率","Lips Masters Frequency"
